id;type;date_livraison;responsable;etat;nom_package;id_svn;description;detail;intervention_id
1;systemic;2019-06-12T16:54:09;quantify;Manager;cultivate Bedfordshire;61825;back-end Roads bypass;Concrete;2
2;Bond Markets Units European Composite Unit (E;2019-06-13T11:31:11;ADP;Hungary Configurable;interface;18228;Kentucky;blue internet solution Concrete;9
3;Investment Account Indian Rupee;2019-06-12T17:18:40;Berkshire Awesome;pixel Pennsylvania;architectures Cotton;28377;customized payment;Grass-roots Cambridgeshire;4
4;Integration Music;2019-06-13T06:50:35;24/7;Pizza blue;digital;5565;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;9
5;parsing;2019-06-13T06:03:41;Fish Tanzanian Shilling;hard drive Mexico Gardens;override silver orchestration;42543;Buckinghamshire;Bouvet Island (Bouvetoya);8
6;copy Awesome;2019-06-13T00:06:17;Applications;Montenegro;frictionless;45426;Bahamas;Manager open architecture;9
7;Customer-focused;2019-06-12T19:53:42;hack;Mall Investment Account;scalable Configuration calculating;96502;Frozen matrix;mint green streamline Mobility;8
8;Refined Soft Keyboard synthesizing;2019-06-12T18:14:21;back-end;Mouse open-source payment;National structure;58830;Tanzanian Shilling Lights;e-enable Plaza intranet;8
9;Borders Grass-roots;2019-06-12T14:39:41;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experie;Credit Card Account;33490;Wooden optical Investment Account;reboot South Carolina;10
10;copy;2019-06-12T19:17:01;1080p;Electronics;application Cambridgeshire;75463;Licensed Bosnia and Herzegovina;indexing Rubber;4
