id;type;date_debut;responsable;etat;url_azimut;url_redmine;url_akuiteo;date_fin;client_id
1;Dale;2019-06-12T23:13:39;stable Utah Computers;Licensed Plastic Pants;Plastic South Georgia and the South Sandwich Islands;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;2019-06-12T18:49:30;2
2;Analyst card Licensed Cotton Ball;2019-06-13T01:50:47;bypass Ameliorated;Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;2019-06-12T23:51:01;8
3;Jamaica Credit Card Account;2019-06-13T02:10:50;Organic;Cheese Steel;Wooden Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;2019-06-13T01:50:19;7
4;Generic Frozen Tuna HTTP;2019-06-13T05:59:22;Kids Optimization;EXE payment;Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;2019-06-13T09:10:01;5
5;Somalia Web revolutionize;2019-06-12T13:10:57;Dynamic black;yellow;Books Generic;robust withdrawal generate;Garden open-source hybrid;2019-06-13T09:24:54;7
6;extensible Accountability Handmade Cotton Bac;2019-06-12T13:01:45;China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;Managed Dobra application;2019-06-13T06:32:00;2
7;Global Berkshire;2019-06-12T16:24:58;encoding Direct;Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;methodical;2019-06-13T04:21:47;6
8;ivory Data neural;2019-06-13T09:31:40;Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined;infomediaries;2019-06-13T06:54:33;1
9;programming panel;2019-06-13T10:17:55;Intelligent Planner;PCI SAS;Interactions;Pennsylvania dynamic bandwidth;navigate Oklahoma;2019-06-13T02:04:11;3
10;array supply-chains Advanced;2019-06-13T02:31:34;Arizona hack;Fresh payment synthesize;Versatile seize;asymmetric EXE;web services;2019-06-12T17:00:02;1
